isolate,species,temperature,value,value7
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16948,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 16949,P. cocois,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 19434,P. castaneae,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18401,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18404,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18406,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18407,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18408,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18410,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 18360,P. agathidicida,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19451,P. heveae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 19635,P. castaneae,3,0,0
ICMP 17027,P. agathidicida,3,0,0
ICMP 17027,P. agathidicida,3,0,0
ICMP 17027,P. agathidicida,3,0,0
ICMP 17027,P. agathidicida,3,0,0
ICMP 17027,P. agathidicida,3,0,0
